"matrix","time","row","col","value","sd","conf.low","conf.high","dates"
"beta",1970-04-16,0,0,0.316044477679747,0.00908854485813045,0.298231257085935,0.333857698273559,2022-03-29
"report_prob",1970-04-16,0,0,0.3949,0,0.3949,0.3949,2022-03-29
"serop",1970-04-16,0,0,0.170265334573064,0.000798858961538626,0.168699599779721,0.171831069366406,2022-03-29
"cases",1970-04-16,0,0,549.937634197045,13.1248604454209,524.213380421906,575.661887972184,2022-03-29
"beta",1970-04-17,0,0,0.316904377034438,0.00877653375710666,0.299702686961409,0.334106067107467,2022-03-30
"report_prob",1970-04-17,0,0,0.3949,0,0.3949,0.3949,2022-03-30
"serop",1970-04-17,0,0,0.172959879685045,0.000790406337073065,0.17141071173123,0.174509047638861,2022-03-30
"cases",1970-04-17,0,0,545.354312603059,13.5088288509269,518.877494581927,571.831130624191,2022-03-30
"beta",1970-04-18,0,0,0.318553041898392,0.00845005585203436,0.301991236761053,0.335114847035732,2022-03-31
"report_prob",1970-04-18,0,0,0.3949,0,0.3949,0.3949,2022-03-31
"serop",1970-04-18,0,0,0.175639859918887,0.000781710795737055,0.174107734912917,0.177171984924858,2022-03-31
"cases",1970-04-18,0,0,540.877992888249,13.8509393979723,513.730650516176,568.025335260321,2022-03-31
"beta",1970-04-19,0,0,0.321007297913767,0.00812215419805567,0.305088168208697,0.336926427618837,2022-04-01
"report_prob",1970-04-19,0,0,0.3949,0,0.3949,0.3949,2022-04-01
"serop",1970-04-19,0,0,0.178304649956448,0.0007732460464619,0.176789115554195,0.179820184358701,2022-04-01
"cases",1970-04-19,0,0,536.605305711989,14.1420757775669,508.887346521322,564.323264902657,2022-04-01
"beta",1970-04-20,0,0,0.324281926210725,0.00781029965819452,0.308974020172199,0.339589832249252,2022-04-02
"report_prob",1970-04-20,0,0,0.3949,0,0.3949,0.3949,2022-04-02
"serop",1970-04-20,0,0,0.18095405151443,0.000765497471308472,0.179453704040409,0.182454398988451,2022-04-02
"cases",1970-04-20,0,0,532.630041106534,14.375111039008,504.455341196315,560.804741016754,2022-04-02
"beta",1970-04-21,0,0,0.328389349370132,0.00753744245401742,0.313616233624714,0.343162465115549,2022-04-03
"report_prob",1970-04-21,0,0,0.3949,0,0.3949,0.3949,2022-04-03
"serop",1970-04-21,0,0,0.183588285824055,0.000758939616674028,0.182100791508933,0.185075780139177,2022-04-03
"cases",1970-04-21,0,0,529.042886756579,14.5447263798982,500.535746886989,557.550026626169,2022-04-03
"beta",1970-04-22,0,0,0.333339126046025,0.00733248842785205,0.318967712810379,0.347710539281672,2022-04-04
"report_prob",1970-04-22,0,0,0.3949,0,0.3949,0.3949,2022-04-04
"serop",1970-04-22,0,0,0.186207983628393,0.000754010955742073,0.18473014931119,0.187685817945596,2022-04-04
