"day","date","daily_serop","daily_serop_increment","daily_serop_q025","daily_serop_q975","cases","hosp","death","cum_cases","cum_case_per_capita","daily_case_increment","cum_case_per_capita_q025","cum_case_per_capita_q975","underreporting_factor","daily_underrep_q025","daily_underrep_q975","est_inci_case","est_inci_serop"
151,2022-02-28,0.0960486629041051,0.00215400583054141,0.0811657721485783,0.110931553659632,345,2,1,22252,0.0435843697972774,0.000675741847027712,0.0394951012374488,0.0476736383571061,2.20374100510924,-0.172942774397361,4.58042478461584,760,1099
152,2022-03-01,0.0982545127964968,0.00220584989239174,0.08337162204097,0.113137403552024,384,3,1,22636,0.0443364998530996,0.000752130055822156,0.040247231293271,0.0484257684129282,2.21610891978492,-0.160574859721683,4.59279269929152,850,1126
153,2022-03-02,0.100512738052334,0.00225822525583694,0.085629847296807,0.115395628807861,406,2,1,23042,0.0451317206933699,0.000795220840270297,0.0410424521335413,0.0492209892531985,2.22709740528682,-0.149586374219779,4.60378118479343,904,1152
154,2022-03-03,0.102823869973211,0.00231113192087681,0.0879409792176838,0.117706760728737,501,5,1,23543,0.0461130153755754,0.000981294682205466,0.0420237468157467,0.050202283935404,2.22982316675116,-0.146860612755439,4.60650694625777,1117,1179
155,2022-03-04,0.105188362747569,0.00236449277435799,0.0903054719920418,0.120071253503095,464,5,1,24007,0.0470218391930271,0.000908823817451762,0.0429325706331985,0.0511111077528558,2.23701081354485,-0.139672965961756,4.61369459305145,1037,1207
156,2022-03-05,0.107606362111235,0.00241799936366638,0.0927234713557081,0.122489252866762,371,5,1,24378,0.0477485065125845,0.000726667319557346,0.0436592379527558,0.0518377750724131,2.25360686585819,-0.123076913648411,4.63029064536479,836,1234
157,2022-03-06,0.110077936686883,0.00247157457564853,0.0951950459313567,0.12496082744241,387,2,2,24765,0.0485065125844677,0.000758006071883262,0.0444172440246391,0.0525957811442964,2.26934345146329,-0.107340328043314,4.64602723096989,878,1261
158,2022-03-07,0.112603155097188,0.00252521841030456,0.0977202643416612,0.127486045852715,420,5,0,25185,0.0493291548330232,0.00082264224855548,0.0452398862731946,0.0534184233928518,2.28268972939723,-0.0939940501093686,4.65937350890384,958,1289
159,2022-03-08,0.115182085964822,0.00257893086763428,0.100299195209296,0.130064976720349,660,3,1,25845,0.0506218783664675,0.00129272353344432,0.0465326098066389,0.0547111469262962,2.27534199997446,-0.101341779532139,4.65202577948107,1501,1316
160,2022-03-09,0.11781479791246,0.00263271194763766,0.102931907156933,0.132697688667987,649,6,1,26494,0.0518930565076878,0.00127117814122026,0.0478037879478592,0.0559823250675164,2.27033838130167,-0.106345398204933,4.64702216080827,1473,1344
161,2022-03-10,0.120501359562775,0.00268656165031489,0.105618468807248,0.135384250318302,584,2,2,27078,0.053036920967584,0.00114386445989619,0.0489476524077553,0.0571261895274126,2.27202781316104,-0.104655966345561,4.64871159266765,1326,1371
162,2022-03-11,0.123241736082389,0.00274037651961424,0.108358845326862,0.138124626837916,611,7,3,27689,0.0542336695720302,0.00119674860444619,0.0501444010122015,0.0583229381318588,2.2724211187426,-0.104262660764006,4.6491048982492,1388,1399
163,2022-03-12,0.126035478813718,0.00279374273132857,0.111152588058191,0.140918369569244,348,4,2,28037,0.054915287435119,0.000681617863088825,0.0508260188752904,0.0590045559949476,2.29508912181558,-0.081594657691018,4.67177290132219,798,1426
164,2022-03-13,0.128882035643124,0.00284655682940624,0.113999144887597,0.143764926398651,438,6,2,28475,0.0557731857800411,0.000857898344922142,0.0516839172202125,0.0598624543398698,2.310824347589,-0.0658594319175982,4.68750812709561,1012,1453
165,2022-03-14,0.131780854456971,0.00289881881384724,0.116897963701444,0.146663745212498,500,1,1,28975,0.0567525217902262,0.000979336010185093,0.0526632532303976,0.0608417903500549,2.32202641045752,-0.0546573690490839,4.69871018996412,1161,1479
166,2022-03-15,0.134731383141623,0.00295052868465162,0.119848492386096,0.14961427389715,602,12,7,29577,0.0579316423464891,0.00117912055626285,0.0538423737866604,0.0620209109063177,2.32569590096884,-0.0509878785377587,4.70237968047545,1400,1506
167,2022-03-16,0.137733069583442,0.00300168644181925,0.122850178827915,0.152615960338969,574,3,4,30151,0.0590559200861816,0.00112427773969249,0.0549666515263529,0.0631451886460102,2.33224830605374,-0.0444354734528627,4.70893208556034,1338,1532
168,2022-03-17,0.140785361668792,0.00305229208535046,0.125902470913266,0.155668252424319,635,4,1,30786,0.0602996768191166,0.00124375673293507,0.056210408259288,0.0643889453789453,2.33476146300273,-0.0419223165038742,4.71144524250933,1482,1558
169,2022-03-18,0.143887590086383,0.00310222841759006,0.129004699330856,0.158770480841909,499,9,3,31285,0.0612770541572814,0.000977377338164727,0.0571877855974527,0.06536632271711,2.34814796607328,-0.0285358134333218,4.72483174557988,1171,1583
170,2022-03-19,0.147038616734303,0.00315102664792016,0.132155725978776,0.161921507489829,344,5,2,31629,0.0619508373322887,0.000673783175007339,0.0578615687724601,0.0660401058921173,2.37347262871726,-0.00321115078934175,4.75015640822386,816,1608
171,2022-03-20,0.150237186312988,0.00319856957868567,0.135354295557462,0.165120077068515,378,8,5,32007,0.0626912153559886,0.000740378023699931,0.05860194679616,0.0667804839158173,2.39646313219284,0.0197793526862364,4.77314691169944,905,1633
172,2022-03-21,0.153482043522875,0.00324485720988676,0.138599152767348,0.168364934278402,178,1,1,32185,0.0630398589756145,0.000348643619625902,0.0589505904157859,0.0671291275354432,2.43468253287568,0.0579987533690813,4.81136631238229,433,1656
173,2022-03-22,0.156771933064399,0.00328988954152359,0.141889042308872,0.171654823819925,444,11,6,32629,0.0639095093526589,0.000869650377044354,0.0598202407928303,0.0679987779124875,2.45302983315544,0.0763460536488347,4.82971361266204,1089,1679
174,2022-03-23,0.160105599637995,0.00333366657359604,0.145222708882468,0.174988490393522,396,6,4,33025,0.0646851434727255,0.000775634120066607,0.0605958749128969,0.0687744120325541,2.47515257820373,0.0984687986971284,4.85183635771033,980,1702
175,2022-03-24,0.163481787944099,0.00337618830610403,0.148598897188572,0.178364678699626,476,8,3,33501,0.0656174713544217,0.000932327881696199,0.0615282027945931,0.0697067399142503,2.4914368775517,0.114753098045102,4.86812065705831,1185,1723
176,2022-03-25,0.16689913200864,0.00341734406454086,0.152016241253113,0.181782022764166,412,4,2,33913,0.0664244442268142,0.000806972872392522,0.0623351756669856,0.0705137127866429,2.5126161603813,0.135932380874696,4.8892999398879,1035,1744
177,2022-03-26,0.17035582315952,0.00345669115088049,0.155472932403993,0.185238713915047,418,3,2,34331,0.067243169131329,0.000818724904514734,0.0631539005715003,0.0713324376911576,2.53342942279843,0.15674564329183,4.91011320230504,1058,1764
178,2022-03-27,0.173849942050136,0.00349411889061613,0.15896705129461,0.188732832805663,292,5,1,34623,0.0678151013612771,0.000571932229948099,0.0637258328014484,0.0719043699211057,2.56358743938125,0.186903659874649,4.94027121888785,748,1783
179,2022-03-28,0.177379569333884,0.00352962728374784,0.162496678578357,0.192262460089411,308,7,1,34931,0.0684183723435511,0.000603270982274015,0.0643291037837224,0.0725076409033797,2.59257218869813,0.215888409191532,4.96925596820474,798,1802
180,2022-03-29,0.18094278566416,0.00356321633027551,0.166059894908633,0.195825676419686,545,6,4,35476,0.0694858485946528,0.00106747625110176,0.0653965800348242,0.0735751171544815,2.60402354326409,0.227339763757482,4.98070732277069,1419,1819
181,2022-03-30,0.184537671694359,0.00359488603019931,0.169654780938832,0.199420562449886,295,4,5,35771,0.070063656840662,0.000577808246009198,0.0659743882808334,0.0741529254004907,2.63385726660018,0.257173487093575,5.01054104610678,776,1835
182,2022-03-31,0.188162308077878,0.00362463638351895,0.173279417322351,0.203045198833405,382,8,7,36153,0.0708118695524434,0.00074821271178141,0.0667226009926148,0.0749011381122721,2.65721423918238,0.280530459675776,5.03389801868898,1015,1850
183,2022-04-01,0.191814696226743,0.00365238814886487,0.176931805471216,0.20669758698227,305,2,6,36458,0.0714092645186564,0.000597394966212916,0.0673199959588277,0.075498533078485,2.68613179983991,0.309448020333309,5.06281557934651,819,1864
184,2022-04-02,0.195492520587499,0.00367782436075625,0.180609629831972,0.210375411343026,200,8,3,36658,0.0718009989227304,0.000391734404074029,0.0677117303629017,0.075890267482559,2.72269917578558,0.346015396278973,5.09938295529218,544,1877
185,2022-04-03,0.199193386365322,0.00370086577782319,0.184310495609795,0.214076277120849,183,5,1,36841,0.0721594359024581,0.000358436979727747,0.0680701673426295,0.0762487044622868,2.76046207781589,0.383778298309288,5.13714585732249,505,1889
186,2022-04-04,0.202914898765388,0.00372151240006571,0.188032008009861,0.217797789520915,217,7,6,37058,0.0725844677308785,0.000425031828420339,0.0684951991710498,0.0766737362907071,2.7955691501071,0.418885370600494,5.1722529296137,606,1900
187,2022-04-05,0.206654662992872,0.00373976422748395,0.191771772237345,0.221537553748399,317,3,4,37375,0.0732053667613358,0.000620899030457339,0.0691160982015072,0.0772946353211644,2.82294416564577,0.44626038613917,5.19962794515238,894,1909
188,2022-04-06,0.21041028425295,0.00375562126007781,0.195527393497423,0.225293175008476,235,4,0,37610,0.0736656546861228,0.000460287924787001,0.0695763861262942,0.0777549232459514,2.85628744018462,0.479603660678015,5.23297121969122,671,1917
189,2022-04-07,0.214179367750797,0.00376908349784696,0.19929647699527,0.229062258506323,370,3,3,37980,0.0743903633336598,0.000724708647536973,0.0703010947738311,0.0784796318934884,2.87912786216875,0.50244408266215,5.25581164167536,1065,1924
